,files,total-num-nodes,run-number,analysis_end_times,analysis-method
0,1929.0,8.0,1.0,390.0,ROOT
1,1929.0,16.0,1.0,212.0,ROOT
2,1929.0,16.0,2.0,218.0,ROOT
3,1929.0,16.0,3.0,217.0,ROOT
4,1929.0,16.0,4.0,215.0,ROOT
5,1929.0,16.0,5.0,216.0,ROOT
6,1929.0,32.0,1.0,132.0,ROOT
7,1929.0,32.0,2.0,131.0,ROOT
8,1929.0,32.0,3.0,131.0,ROOT
9,1929.0,32.0,4.0,132.0,ROOT
10,1929.0,32.0,5.0,130.0,ROOT
11,1929.0,64.0,1.0,89.0,ROOT
12,1929.0,64.0,2.0,91.0,ROOT
13,1929.0,64.0,3.0,92.0,ROOT
14,1929.0,64.0,4.0,91.0,ROOT
15,1929.0,64.0,5.0,90.0,ROOT
16,1929.0,128.0,1.0,78.0,ROOT
17,1929.0,128.0,2.0,78.0,ROOT
18,1929.0,128.0,3.0,77.0,ROOT
19,1929.0,128.0,4.0,79.0,ROOT
20,1929.0,128.0,5.0,79.0,ROOT
21,1929.0,256.0,1.0,17.0,ROOT
22,1929.0,256.0,2.0,16.0,ROOT
23,1929.0,256.0,3.0,17.0,ROOT
24,1929.0,256.0,4.0,17.0,ROOT
25,1929.0,256.0,5.0,16.0,ROOT
26,3858.0,8.0,1.0,679.0,ROOT
27,3858.0,16.0,1.0,403.0,ROOT
28,3858.0,16.0,2.0,399.0,ROOT
29,3858.0,16.0,3.0,395.0,ROOT
30,3858.0,16.0,4.0,398.0,ROOT
31,3858.0,16.0,5.0,396.0,ROOT
32,3858.0,32.0,1.0,214.0,ROOT
33,3858.0,32.0,2.0,220.0,ROOT
34,3858.0,32.0,3.0,223.0,ROOT
35,3858.0,32.0,4.0,218.0,ROOT
36,3858.0,32.0,5.0,222.0,ROOT
37,3858.0,64.0,1.0,136.0,ROOT
38,3858.0,64.0,2.0,133.0,ROOT
39,3858.0,64.0,3.0,136.0,ROOT
40,3858.0,64.0,4.0,135.0,ROOT
41,3858.0,64.0,5.0,137.0,ROOT
42,3858.0,128.0,1.0,97.0,ROOT
43,3858.0,128.0,2.0,103.0,ROOT
44,3858.0,128.0,3.0,103.0,ROOT
45,3858.0,128.0,4.0,97.0,ROOT
46,3858.0,128.0,5.0,98.0,ROOT
47,3858.0,256.0,1.0,97.0,ROOT
48,3858.0,256.0,2.0,94.0,ROOT
49,3858.0,256.0,3.0,104.0,ROOT
50,3858.0,256.0,4.0,112.0,ROOT
51,3858.0,256.0,5.0,98.0,ROOT
52,7716.0,8.0,1.0,1260.0,ROOT
53,7716.0,16.0,1.0,686.0,ROOT
54,7716.0,16.0,2.0,685.0,ROOT
55,7716.0,16.0,3.0,690.0,ROOT
56,7716.0,16.0,4.0,686.0,ROOT
57,7716.0,16.0,5.0,682.0,ROOT
58,7716.0,32.0,1.0,392.0,ROOT
59,7716.0,32.0,2.0,391.0,ROOT
60,7716.0,32.0,3.0,394.0,ROOT
61,7716.0,32.0,4.0,390.0,ROOT
62,7716.0,64.0,1.0,210.0,ROOT
63,7716.0,64.0,2.0,212.0,ROOT
64,7716.0,64.0,3.0,214.0,ROOT
65,7716.0,64.0,4.0,210.0,ROOT
66,7716.0,128.0,1.0,131.0,ROOT
67,7716.0,128.0,2.0,133.0,ROOT
68,7716.0,128.0,3.0,136.0,ROOT
69,7716.0,128.0,4.0,131.0,ROOT
70,7716.0,256.0,1.0,126.0,ROOT
71,7716.0,256.0,2.0,124.0,ROOT
72,7716.0,256.0,3.0,137.0,ROOT
73,7716.0,256.0,4.0,119.0,ROOT
